is_disabled,lon,vehicle_type_id,current_range_meters,bike_id,lat,is_reserved,rental_uris,propulsion_type,form_factor,max_range_meters
0,-77.033799171,2,42003.8784,b95fbce6c2fe870d2f31575a0d149291,38.947743654,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-76.951516628,2,36532.1088,08c8184f985ab853786665d6d0d2af7a,38.954299569,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-77.023267031,2,45383.5008,fe33c1e108d12ad8d7cb9c319410fa36,38.961954355,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-77.036561966,2,11587.276800000001,882c8a68eafbaae0a1a087c2bfe04ec1,38.936269522,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-76.968755126,2,39267.9936,3618d2c902fb25b5aeeb4bf2d754fc5f,38.96156013,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-77.111007452,2,53430.2208,f5444c9023dae9ecf267c52b49e33ced,38.908181071,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-77.009227753,2,21726.144,4b82c9d78dab832b358d252b3ef67da6,38.867177725,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-77.109337926,2,36532.1088,0986858a8d312e9c1f5bd9ff3fd3dc7b,38.873450518,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-77.021345019,2,27036.9792,0bbd41170b0729f436ae6111f4c53a4e,38.979611754,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
0,-77.112894654,2,5471.7696,6bce21e13f026be7ab2a5ee775f2e695,38.856911898,0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",electric_assist,bicycle,55844.24
