name,region_id,capacity,lon,short_name,station_id,rental_uris,lat,region_name
Reston Town Center Metro South,104,19,-77.361466,32258,5dfab137-f65a-41c0-99ef-d58f29a735b2,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.9523,"Fairfax, VA"
Garland Ave & Walden Rd,44,15,-77.00077,32082,a3761e59-db36-4b61-8bb3-8d523af69b96,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",39.00048,"Montgomery County, MD (South)"
Brenman Park Dr & Somervelle St,40,15,-77.116242,31001,2080485651052569546,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.809187,"Alexandria, VA"
Herndon Metro South ,104,12,-77.38455697243313,32321,2069025384409258804,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.952000700159665,"Fairfax, VA"
S Washington St & Wilkes St,40,12,-77.048043,31958,472dee60-f045-4f2e-9807-193e3ae9b661,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.800703,"Alexandria, VA"
5th St & Massachusetts Ave NW,42,19,-77.018677,31265,08254442-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.90093,"Washington, DC"
Becontree Ln & Goldenrain Ct,104,12,-77.329282,32239,e976c0ab-bc21-42b3-a2c2-b90def6f54f4,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.966848,"Fairfax, VA"
Oglethorpe St & 42nd Ave,133,15,-76.946361,32408,42ad2bc8-22b5-40f2-8a56-e562e4ecde07,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.959361,Prince George's County
53rd & D St SE/C.W. Harris Elementary,42,19,-76.925315,31671,12b1c990-90e7-4fef-a5b9-c78d4c81af96,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.883318,"Washington, DC"
Pentagon City Metro / 12th St & S Hayes St,41,19,-77.059936,31005,08246df5-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.862303,"Arlington, VA"
Blenheim Blvd & North St,,12,-77.303349,32278,1874573898176678104,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.846972,
3rd & H St NE,42,19,-77.001949,31616,0824bce1-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.900412,"Washington, DC"
Clarendon Blvd & Pierce St,41,15,-77.076389,31016,0824eba7-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.893438,"Arlington, VA"
39th St & Tunlaw Rd NW,,19,-77.079119,31392,1879766346478500482,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.9257,
S Maple Ave & S Washington St,152,12,-77.178408,32607,5e571279-84a3-4dd6-9ee5-6a834e4c624a,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.87972,"Falls Church, VA"
Wilson Blvd & N Oak St,41,17,-77.07386,31939,83c9bc80-bc42-4e5d-9f5e-6c24812e6e37,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.895068,"Arlington, VA"
Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,42,15,-77.01033,31819,7c46ff05-4fca-44e6-a50b-acbc57e8100b,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.81909,"Washington, DC"
Mt Vernon Trail & S. Washington St.,40,15,-77.049436,31929,8d8a3add-40b4-41ba-bffe-5a754ebc1625,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.7930647,"Alexandria, VA"
Crescent Rd & Ridge Rd,133,15,-76.891247,32425,10d57c0d-6f3c-45d1-8a12-eda5665e213c,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",39.006191,Prince George's County
19th St N & Ft Myer Dr,41,15,-77.072143,31014,0824ea2c-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.897218,"Arlington, VA"
Columbia Rd & Georgia Ave NW,42,27,-77.0237946510315,31115,0825164b-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.92812111132096,"Washington, DC"
Monroe St & Monroe Pl,43,15,-77.149162,32017,082595a1-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",39.083673,"Montgomery County, MD (North)"
N Hampton Dr & Ford Ave,40,11,-77.106111,31941,e456b38d-7f5e-4d06-b2bc-022b42097a06,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.837306,"Alexandria, VA"
Yuma St & Tenley Circle NW,42,19,-77.08059,31316,0826139b-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.946182,"Washington, DC"
McLean Metro,104,19,-77.20812678337097,32230,6ffb5d30-d3f4-462b-8182-c552bebc9310,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.92400207520182,"Fairfax, VA"
Constitution Ave & 2nd St NW/DOL,42,27,-77.013917,31271,08256d91-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.892275,"Washington, DC"
16th St & North Carolina Ave NE,,19,-76.982464,31725,1932168474073292810,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.893062,
E Fairfax St & S Washington St,152,12,-77.171891,32604,6e652351-dad9-45e4-a0a7-dda0417973f4,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.880612,"Falls Church, VA"
North Capitol St & G Pl NE,42,19,-77.008911,31637,0825be05-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.899703,"Washington, DC"
14th & Otis Pl NW,42,27,-77.032687,31131,2a43f4e2-4102-482e-8879-245cf7555c6b,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.934405,"Washington, DC"
Van Dorn Metro,40,19,-77.1299434,31932,dfa896d9-9209-413d-b494-e255ef513d2c,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.8000766,"Alexandria, VA"
Gallaudet / 8th St & Florida Ave NE,42,19,-76.9941,31508,08252b28-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.90509,"Washington, DC"
Kansas Ave & Tuckerman St NW / Lamond Rec ,,15,-77.007003,31427,1934289487117353510,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.967492,
WAU / Flower Ave & Division St,44,15,-77.000035,32049,0825faf6-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.986743,"Montgomery County, MD (South)"
N Howard St & Taney Ave,40,15,-77.110014,31943,cdeeb133-ccd7-418f-a8d7-0b5c5380a8ae,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.815842,"Alexandria, VA"
Roosevelt Center & Crescent Rd,133,15,-76.878005,32424,6922a398-ec20-493d-a832-5e337cf335f5,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",39.00031,Prince George's County
Virginia Tech / University Dr & Potomac Ave,40,19,-77.04851649200613,31983,2087539483195992332,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.838844754411575,"Alexandria, VA"
Mount Vernon Ave & Four Mile Run Park,40,15,-77.064016,31909,08262494-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.843422,"Alexandria, VA"
21st & L St NW ,42,16,-77.046567,31140,2061578790793374684,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.904052,"Washington, DC"
Wheaton Metro / Georgia Ave & Reedie Dr,44,19,-77.05102041363716,32062,08265124-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",39.038423828518326,"Montgomery County, MD (South)"
20th & Q St NW,42,27,-77.0450612,31982,2066765243426702154,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.9110858,"Washington, DC"
Kingman Island/The Fields at RFK,42,19,-76.9678448436025,31716,bed9b757-0df2-4a97-a6ac-415db00e82c8,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.89595455700754,"Washington, DC"
Army Navy Dr & Fern St,41,15,-77.056873,31936,0a5dbbe0-1325-49af-9fca-f0748ca06dc0,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.864838,"Arlington, VA"
Columbia Pike & S Orme St,41,8,-77.072296,31066,082569e6-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.867217,"Arlington, VA"
 Scotts Crossing Rd & Spring Gate Dr,104,11,-77.2110936,32324,2070121870129475816,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.9270176,"Fairfax, VA"
D St & Maryland Ave NE,42,23,-76.99591577053069,31612,0824a703-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.89484064247075,"Washington, DC"
Marymount University / Yorktown Blvd & 26th St N,41,15,-77.127776,31977,5eb5b5a7-db69-4d8a-a16a-604678a544b7,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.904252,"Arlington, VA"
Witter Field,40,16,-77.078791,32101,2064975968599672936,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.805524,"Alexandria, VA"
Broad Branch Rd & Northampton St NW,42,19,-77.06862643361092,31422,68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.96577499342219,"Washington, DC"
Montello Ave & Holbrook Terr NE,42,19,-76.986813,31524,a07bd5e0-5136-4285-ae23-54a74124957e,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.907444,"Washington, DC"
Silver Spring Transit Center - Top Level,44,15,-77.03037142753601,32034,0825b553-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.99403485060837,"Montgomery County, MD (South)"
Vaden Dr & Royal Victoria Dr/Jim Scott Cmty Ctr,104,11,-77.272999,32261,f08db1df-054a-46c8-a3e1-b349f2a26d5e,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.873261,"Fairfax, VA"
Commerce St & Fayette St,40,15,-77.052925,31045,08253b95-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.80563,"Alexandria, VA"
1st & Washington Hospital Center NW,42,15,-77.012457,31507,0825201c-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.928743,"Washington, DC"
1st & Q St SW,42,15,-77.01191514730453,31676,84a0159b-5f00-417a-8f06-6c7c8437049f,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.870823939537914,"Washington, DC"
Connecticut Ave & R St NW,42,19,-77.04564,31299,a2507ccc-aca1-48b2-a6a3-a3144ad92d21,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.912644,"Washington, DC"
Offutt Ln & Chevy Chase Dr,44,11,-77.094589,32029,0825b2e7-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.977093,"Montgomery County, MD (South)"
Virginia Square Metro / Monroe St & 9th St N,41,19,-77.103148,31024,082520aa-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.882788,"Arlington, VA"
17th St & Massachusetts Ave NW,42,19,-77.038542,31267,08255063-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.908568,"Washington, DC"
Frederick Ave & Horners Ln,43,9,-77.145213,32009,08258475-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",39.094772,"Montgomery County, MD (North)"
3rd & G St SE,42,20,-77.001828,31625,08251448-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.881185,"Washington, DC"
5th & Kennedy St NW,42,15,-77.0198142528534,31403,082547de-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.956555547721955,"Washington, DC"
7th & Monroe St NE,42,15,-76.9961330294609,31534,066fd95e-0d37-4eea-a027-88c04277bb9d,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.932242581555066,"Washington, DC"
W&OD Trail/Sunset Hills Rd & Isaac Newton Sq,104,19,-77.340281,32220,08263fbd-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.951419,"Fairfax, VA"
Route 29 & Circle Woods Dr,,11,-77.27153766943553,31389,1892760823152249488,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.86911419290566,
Langston Blvd & N Adams St,41,15,-77.089006,31030,08252530-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.89593,"Arlington, VA"
Bladensburg Waterfront Park,133,13,-76.938248,32432,2025978688145375308,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.934324,Prince George's County
